wall_1,,,,,,,,,,,,,,openDoorFront,,,,wall_1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wall_2,,,,water,,water,,water,,water,,water,,block,,block,,water,,water,,water,,water,,water,,wall_2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,water,,block,,block,,block,,water,,block,,block,,block,,block,,water,,block,,water,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,water,,block,,water,,block,,water,,block,,water,,water,,block,,water,,block,,water,,
wallLeft,,,,,,,,,,,,,,,,,,,,,,,,,,,,wallRight
,,,,block,,block,,water,,block,,water,,block,,block,,water,,block,,water,,block,,block,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,water,,block,,water,,block,,water,,water,,block,,water,,block,,water,,block,,water,,
wall_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall_2
,,,,water,,block,,water,,block,,block,,block,,block,,water,,block,,block,,block,,water,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,water,,water,,water,,water,,water,,block,,block,,water,,water,,water,,water,,water,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wall_1,,,,,,,,,,,,,,openDoorBack,,,,wall_1,,,,,,,,,,
